date,sku_id,product_name,category,warehouse,unit_cost,shelf_life_days,lead_time_days,reorder_point,reorder_qty,demand_units,inventory_level,stockout_units,promotion,day_of_week,month,quarter,is_weekend,year,days_of_stock,stockout_flag
01-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,480,0,0,5,1,1,1,2022,34.3,0
02-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,15,465,0,0,6,1,1,1,2022,31,0
03-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,10,455,0,0,0,1,1,0,2022,45.5,0
04-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,443,0,0,1,1,1,0,2022,36.9,0
05-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,430,0,0,2,1,1,0,2022,33.1,0
06-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,418,0,0,3,1,1,0,2022,34.8,0
07-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,11,407,0,0,4,1,1,0,2022,37,0
08-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,394,0,0,5,1,1,1,2022,30.3,0
09-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,380,0,0,6,1,1,1,2022,27.1,0
10-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,367,0,0,0,1,1,0,2022,28.2,0
11-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,354,0,0,1,1,1,0,2022,27.2,0
12-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,340,0,0,2,1,1,0,2022,24.3,0
13-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,328,0,0,3,1,1,0,2022,27.3,0
14-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,316,0,0,4,1,1,0,2022,26.3,0
